,,,,,,,,Στην περίπτωση αυτή το energy cost είναι η τιμή που έχει συμφωνηθεί στο PPA,,,,,,,,,4000,,2,,,,3,4,,,,,,,,,,,,,,,,,,,
P Installed (kWp),Unit Cost (€/kWp),Specific Yield (kWh/kWp),Monthly Consumption (kWh),Annual Consumption (kWh),Equity ,Years,interest rate,Energy Cost (€/MWh),Energy Cost Regulated (€/MWh),Loan Interest,Interest rate project,Loan ,Annual Production (kWh),Annual Degradation,O&M (€/kWp/year),Land Lease (€/year),Development Costs EUNILAB (€),Connection Cost HEDNO (€),insurance €/year,Adm Expenses (€/year),OPEX other (€/year),Annual Expenses escalation ,Bank expenses (€),Contigency (€),Taxes (%),Advance payment of taxes (%),Cost annual decrease (%),Min marginal price (€/MWh),PPA price (€/MWh),,,,,,,,,,,,,,
400,600,1465,741666.6666666666,8900000,0.2,10,0.028,70,45,0.03,0.02432,0.8,586000,0.007,6,0,1600,2000,800,2000,0,0.03,1200,1600,0.22,0.95,0,45,45,,,,,,,,,,,,,,
240000,192000,,24722.222222222223,,,,,,,,,,1123.835616438356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery energy capacity (kWh),Unit Cost (€/kWh),synchronization (%),18541.666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,500,0.7,18291.666666666668,,,,,physical,0,0 or 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,Years,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,95,2,,,95,8,,,,,95,0.6783794039155921,,,,95,0.14612997274053652,,,,,,,,,,,,,
,,,,,,,,,,,,,,100,2,,,100,7,,,,,100,0.7173069280319231,,,,100,0.15460255196662898,,,,,,,,,,,,,
,,,,,,,,,,,,,,110,2,,,110,6,,,,,110,0.7946532689891588,,,,110,0.17142760397094792,,,,,,,,,,,,,
,,,,,,,,,,,,,,120,2,,,120,6,,,,,120,0.871340515579855,,,,120,0.1881280756414847,,,,,,,,,,,,,
,,,,,,,,,,,,,,130,2,,,130,5,,,,,130,0.9474129406356946,,,,130,0.2047352194398877,,,,,,,,,,,,,
,,,,,,,,,,,,,,140,2,,,140,5,,,,,140,1.0229231849161216,,,,140,0.2212705501528156,,,,,,,,,,,,,
,,,,,,,,,,,,,,150,2,,,150,5,,,,,150,1.0979237768613146,,,,150,0.23774858199494098,,,,,,,,,,,,,
,,,,,,,,,,,,,,160,1,,,160,4,,,,,160,1.1724636711772636,,,,160,0.2541788280748878,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,200,400,600,800,1000,1500,2000,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Equity Payback Period,,PV installed (kW),,,,,,,,,,,Equity IRR,,PV installed (kW),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,200,400,600,800,1000,1500,2000,2500,,,,,0.4815824780816538,200,400,600.0,800.0,1000.0,1500.0,2000.0,2500.0,,,,,,,,
,,,,,,,,,,,,,PPA price (€/MWh),30,5,5,4,4,4,4,4,4,,,,PPA price (€/MWh),30,0.23542406284911555,0.26332461094600434,0.27268434858243773,0.2773771610425846,0.2801971691021179,0.28396234466446213,0.28584718303284085,0.2869788152388175,,,,,,,,
,,,,,,,,,,,,,,35,5,4,4,4,4,4,4,4,,,,,35,0.24223143786434664,0.27086669243824324,0.28047350249665937,0.2852900770213327,0.28818439274559826,0.2920486875848214,0.2939830985933547,0.2951444772446479,,,,,,,,
,,,,,,,,,,,,,,40,5,4,4,4,4,4,4,4,,,,,40,0.2493915892520504,0.2787930165224304,0.2886564304668884,0.29360134260462045,0.2965726496147971,0.30053956941716065,0.30252527472910695,0.3037174228217787,,,,,,,,
,,,,,,,,,,,,,,45,5,4,4,4,4,4,4,4,,,,,45,0.2569290634924817,0.28712801177091274,0.2972573446847089,0.30233503195643485,0.30538592201216597,0.30945883983855116,0.31149749059085385,0.3127213874918806,,,,,,,,
,,,,,,,,,,,,,,50,4,4,4,4,3,3,3,3,,,,,50,0.29419834512569953,0.3249523094722748,0.33526118855678333,0.3404270949549224,0.3435303709429949,0.3476724686141117,0.3497454139477896,0.3509897909781461,,,,,,,,
,,,,,,,,,,,,,,55,4,3,3,3,3,3,3,3,,,,,55,0.332366142260357,0.363545497155767,0.37398878739110497,0.3792203193231636,0.3823624515231536,0.3865557447026262,0.3886540234981819,0.3899135157125957,,,,,,,,
,,,,,,,,,,,,,,60,3,3,3,3,3,3,3,3,,,,,60,0.37116152802675617,0.4026477365879444,0.4131871997517953,0.41846564463962954,0.4216355514051817,0.42586544534677406,0.4279818407753302,0.42925214457684024,,,,,,,,
,,,,,,,,,,,,,,65,3,3,3,3,3,3,3,3,,,,,65,0.4103478102760889,0.4420469124184929,0.4526536715997578,0.4579651091819741,0.4611546086355782,0.4654103953493476,0.4675396402701446,0.46881762329908594,,,,,,,,
,,,,,,,,,,,,,,70,3,3,3,3,3,3,3,3,,,,,70,0.4497374939673773,0.4815824780816538,0.4922366349007461,0.49757157952817255,0.5007751278502077,0.5050495867166538,0.5071881437577603,0.5084717068133144,,,,,,,,
,,,,,,,,,,,,,,75,3,2,2,2,2,2,2,2,,,,,75,0.48919223360735997,0.5211396207355719,0.5318286303546031,0.5371811612399691,0.5403953160964254,0.5446839838164961,0.5468296748593948,0.548117528022902,,,,,,,,
,,,,,,,,,,,,,,80,2,2,2,2,2,2,2,2,,,,,80,0.5286154222064441,0.5606399557764821,0.5713567647836693,0.5767235944432456,0.5799464575388718,0.5842468877400131,0.5863985252848707,0.5876899673196312,,,,,,,,
,,,,,,,,,,,,,,140,2,2,2,2,2,2,2,2,,,,,80,0.5286154222064441,0.5606399557764821,0.5713567647836693,0.5767235944432456,0.5799464575388718,0.5842468877400131,0.5863985252848707,0.5876899673196312,,,,,,,,
,,,,,,,,,,,,,,150,2,2,2,2,2,2,2,2,,,,,150,1.0644531763930214,1.0979237768613146,1.1091658219655702,1.1148031601492154,1.1181908281311852,1.1227138956240328,1.1249780876055553,1.1263374562483612,,,,,,,,
,,,,,,,,,,,,,,160,1,1,1,1,1,1,1,1,,,,,160,1.1386650360991601,1.1724636711772636,1.1838193463821307,1.1895142901158344,1.1929367728331361,1.1975065521086994,1.1997942248128148,1.2011677217425532,,,,,,,,
,,,,,,,,,,,,,,170,1,1,1,1,1,1,1,1,,,,,170,1.2124385635624626,1.246587093646288,1.2580633265517682,1.2638192758459126,1.26727859332546,1.2718977547689634,1.274210233642001,1.275598651033301,,,,,,,,
,,,,,,,,,,,,,,180,1,1,1,1,1,1,1,1,,,,,180,1.2858161311249745,1.3203334179284147,1.3319362021020136,1.3377561014470478,1.3412540039841194,1.3459248624464566,1.3482632969048707,1.3496673218651805,,,,,,,,
,,,,,,,,,,,,,,190,1,1,1,1,1,1,1,1,,,,,190,1.3588351103147631,1.393737475933981,1.405472011611732,1.4113584181910777,1.4148964266186543,1.4196209943530849,1.4219863839334597,1.423406614091908,,,,,,,,
,,,,,,,,,,,,,,200,1,1,1,1,1,1,1,1,,,,,200,1.431528394464371,1.4668300224797255,1.4787008398134645,1.4846559833134245,1.4882354243236917,1.4930154574363836,1.4954086747484134,1.4968456319414791,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Annual Savings,,PV installed (kW),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,56211.32332718298,200,400,600,800,1000,1500,2000,2500,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,PPA price (€/MWh),30,21188.375355165954,42376.75071033191,63565.126065497876,84753.50142066382,105941.8767758298,158912.81516374467,211883.7535516596,264854.6919395745,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,35,21246.975355165956,42493.95071033191,63740.92606549787,84987.90142066382,106234.8767758298,159352.31516374467,212469.7535516596,265587.1919395745,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,40,21305.57535516595,42611.1507103319,63916.726065497875,85222.3014206638,106527.8767758298,159791.81516374467,213055.7535516596,266319.6919395745,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,45,21364.17535516595,42728.3507103319,64092.52606549787,85456.7014206638,106820.8767758298,160231.31516374467,213641.7535516596,267052.1919395745,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,50,22712.472616851053,45424.94523370211,68137.4178505532,90849.89046740421,113562.36308425531,170343.54462638297,227124.72616851062,283905.90771063836,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,55,24060.769878536168,48121.539757072336,72182.30963560853,96243.07951414467,120303.84939268086,180455.77408902126,240607.69878536172,300759.623481702,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60,25409.067140221276,50818.13428044255,76227.20142066383,101636.2685608851,127045.33570110638,190568.00355165958,254090.67140221276,317613.33925276593,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,65,26757.36440190638,53514.72880381276,80272.09320571917,107029.45760762552,133786.82200953193,200680.23301429785,267573.64401906385,334467.0550238297,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,70,28105.66166359149,56211.32332718298,84316.98499077451,112422.64665436596,140528.3083179575,210792.46247693614,281056.616635915,351320.7707948937,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,75,29453.958925276595,58907.91785055319,88361.8767758298,117815.83570110638,147269.79462638302,220904.6919395745,294539.58925276605,368174.48656595754,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,80,30802.256186961706,61604.51237392341,92406.76856088512,123209.02474784682,154011.2809348085,231016.92140221276,308022.561869617,385028.20233702124,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,140,46981.82332718297,93963.64665436593,140945.46998154896,187927.29330873187,234909.116635915,352363.6749538723,469818.23327183,587272.7915897873,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,150,49678.417850553196,99356.83570110639,149035.2535516596,198713.67140221279,248392.08925276605,372588.133879149,496784.1785055321,620980.2231319149,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,160,52375.0123739234,104750.0247478468,157125.03712177026,209500.0494956936,261875.06186961706,392812.5928044255,523750.1237392341,654687.6546740426,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,170,55071.60689729363,110143.21379458725,165214.82069188092,220286.4275891745,275358.0344864681,413037.05172970216,550716.0689729362,688395.0862161702,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,180,57768.20142066383,115536.40284132765,173304.60426199154,231072.8056826553,288841.0071033192,433261.51065497875,577682.0142066384,722102.517758298,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,190,60464.79594403406,120929.59188806811,181394.3878321022,241859.18377613623,302323.9797201703,453485.9695802552,604647.9594403406,755809.9493004256,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,200,63161.39046740426,126322.78093480851,189484.1714022128,252645.56186961703,315806.95233702136,473710.42850553186,631613.9046740427,789517.3808425532,,,,,,,,,,,,,,,,,,,,,
