,,,,,,,,Στην περίπτωση αυτή το energy cost είναι η τιμή που έχει συμφωνηθεί στο PPA,,,,,,,,,4000,,2,,,,3,4,,,,,,,,,,,,,,,,,,,
P Installed (kWp),Unit Cost (€/kWp),Specific Yield (kWh/kWp),Monthly Consumption (kWh),Annual Consumption (kWh),Equity ,Years,interest rate,Energy Cost (€/MWh),Energy Cost Regulated (€/MWh),Loan Interest,Interest rate project,Loan ,Annual Production (kWh),Annual Degradation,O&M (€/kWp/year),Land Lease (€/year),Development Costs EUNILAB (€),Connection Cost HEDNO (€),insurance €/year,Adm Expenses (€/year),OPEX other (€/year),Annual Expenses escalation ,Bank expenses (€),Contigency (€),Taxes (%),Advance payment of taxes (%),Cost annual decrease (%),Min marginal price (€/MWh),PPA price (€/MWh),,,,,,,,,,,,,,
400,600,1465,741666.6666666666,8900000,0.2,10,0.028,70,45,0.03,0.02432,0.8,586000,0.007,6,0,1600,2000,800,2000,0,0.03,1200,1600,0.22,0.95,0,45,45,,,,,,,,,,,,,,
240000,192000,,24722.222222222223,,,,,,,,,,1123.835616438356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery energy capacity (kWh),Unit Cost (€/kWh),synchronization (%),18541.666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,500,0.7,18291.666666666668,,,,,physical,0,0 or 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,Years,,,,,,,,,,,,,,,,,,,,,,,,,,
Stored Energy (kWh),0,,,,,,,,,,,,,energy cost PPA,,,,374130,374314.59,374497.88787,374679.90265491,374860.64333632565,375040.1188329714,375218.3380011405,375395.30963513255,375571.04246768664,375745.54517041286,375918.8263542199,376090.8945697404,376261.75830775226,376431.425999598,376599.9060176008,376767.20667547756,376933.3362287492,377098.302875148,377262.11475502193,377424.7799517368,377586.3064920747,377746.7023466301,377905.9754302037,378064.1336021922,378221.1846669769,376230.6492896681
Selfconsumption with battery (kWh/day),1123.835616438356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Synchronization with battery,0.7,,,,,,,,,,,,,O&M services (€),,,,2400,2472,2546.16,2622.5448,2701.221144,2782.25777832,2865.7255116696,2951.697277019688,3040.2481953302786,3131.455641190187,3225.399310425893,3322.16128973867,3421.82612843083,3524.480912283755,3630.2153396522676,3739.1217998418356,3851.295453837091,3966.834317452204,4085.83934697577,4208.414527385043,4334.666963206594,4464.706972102792,4598.648181265876,4736.6076267038525,4878.705855504968,3500.089374893488
,,,,,,,,,,,,,,Insurance,,,,800,824,848.72,874.1816,900.407048,927.41925944,955.2418372232,983.899092339896,1013.416065110093,1043.8185470633957,1075.1331034752977,1107.3870965795568,1140.6087094769434,1174.8269707612517,1210.0717798840892,1246.373933280612,1283.7651512790303,1322.2781058174012,1361.9464489919233,1402.804842461681,1444.8889877355314,1488.2356573675972,1532.8827270886252,1578.869208901284,1626.2352851683227,1166.6964582978292
,,,,,,,,,,,,,,Land Lease,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
,,,,,,,,,,,,,,Adm Expenses,,,,2000,2060,2121.8,2185.454,2251.01762,2318.5481486000003,2388.1045930580003,2459.7477308497405,2533.5401627752326,2609.5463676584895,2687.832758688244,2768.4677414488915,2851.5217736923582,2937.067426903129,3025.1794497102233,3115.93483320153,3209.412878197576,3305.6952645435035,3404.866122479809,3507.012106154203,3612.2224693388293,3720.5891434189944,3832.206817721564,3947.1730222532115,4065.588212920808,2916.7411457445733
,,,,,,,,,,,,,,OPEX other,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
,,,,,,,,,,,,,,OPEX total,,,,5200,5356,5516.68,5682.1804,5852.645812000001,6028.22518636,6209.0719419508005,6395.344100209324,6587.204423215604,6784.820555912072,6988.365172589435,7198.016127767119,7413.9566116001315,7636.375309948136,7865.466569246581,8101.4305663239775,8344.473483313697,8594.807687813109,8852.651918447502,9118.231476000927,9391.778420280954,9673.531772889382,9963.737726076066,10262.649857858349,10570.529353594098,7583.526978935889
Sources and Uses ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,OPEX + Actual Energy Cost,,,,969221,969664.14,970109.95002,970558.58452986,971010.202112951,971464.9655932043,971923.0421659473,972384.6035326378,972849.8260396171,973318.8908209987,973791.9839458205,974269.2965695856,974751.0250903259,975237.3713093228,975728.5425966256,976224.7520615113,976726.2187280346,977233.1677158211,977745.8304262593,978264.4447342582,978789.2551857303,979320.5132009807,979858.4772841707,980403.4132390463,980955.5943911137,
