,,,,,,,,,,,,,,,,,4000,,2,,,,3,4,,,,,,,,,,,,,,,,,,,
P Installed (kWp),Unit Cost (€/kWp),Specific Yield (kWh/kWp),Monthly Consumption (kWh),Annual Consumption (kWh),Equity ,Years,interest rate,Energy Cost (€/MWh),Energy Cost Regulated (€/MWh),Loan Interest,Interest rate project,Loan ,Annual Production (kWh),Annual Degradation,O&M (€/kWp/year),Land Lease (€/year),Development Costs EUNILAB (€),Connection Cost HEDNO (€),insurance €/year,Adm Expenses (€/year),OPEX other (€/year),Annual Expenses escalation ,Bank expenses (€),Contigency (€),Taxes (%),Advance payment of taxes (%),Cost annual decrease (%),Min marginal price (€/MWh),,,,,,,,,,,,,,,
8000,700,1500,975000,11700000,1,10,0.028,70,45,0.03,0.028,0,12000000,0.007,6,0,32000,2000,16000,2000,0,0.03,24000,32000,0.22,0.95,0.05,45,,,,,,,,,,,,,,,
5600000,4480000,,32500,,,,,,,,,,23013.698630136983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery energy capacity (kWh),Unit Cost (€/kWh),synchronization (%),24375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,500,0.7,24125,,,,,physical,0,0 or 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,Years,,,,,,,,,,,,,,,,,,,,,,,,,,
Synchronization with battery,0.7,,,,,,,,,,,,,O&M services (€),,,,48000,49440,50923.200000000004,52450.89600000001,54024.42288000001,55645.15556640001,57314.510233392015,59033.945540393775,60804.96390660559,62629.112823803756,64507.98620851787,66443.2257947734,68436.52256861661,70489.61824567511,72604.30679304537,74782.43599683674,77025.90907674184,79336.6863490441,81716.78693951543,84168.29054770089,86693.33926413192,89294.13944205588,91972.96362531756,94732.15253407709,97574.11711009941,70001.78749786978
,,,,,,,,,,,,,,Insurance,,,,16000,16480,16974.4,17483.632,18008.14096,18548.385188800003,19104.836744464003,19677.981846797924,20268.32130220186,20876.370941267916,21502.662069505954,22147.741931591132,22812.174189538866,23496.539415225034,24201.435597681786,24927.47866561224,25675.303025580608,26445.56211634803,27238.92897983847,28056.096849233625,28897.779754710635,29764.713147351955,30657.654541772514,31577.38417802569,32524.705703366464,23333.929165956586
,,,,,,,,,,,,,,Land Lease,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
,,,,,,,,,,,,,,Adm Expenses,,,,2000,2060,2121.8,2185.454,2251.01762,2318.5481486000003,2388.1045930580003,2459.7477308497405,2533.5401627752326,2609.5463676584895,2687.832758688244,2768.4677414488915,2851.5217736923582,2937.067426903129,3025.1794497102233,3115.93483320153,3209.412878197576,3305.6952645435035,3404.866122479809,3507.012106154203,3612.2224693388293,3720.5891434189944,3832.206817721564,3947.1730222532115,4065.588212920808,2916.7411457445733
,,,,,,,,,,,,,,OPEX other,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
,,,,,,,,,,,,,,OPEX total,,,,66000,67980,70019.40000000001,72119.982,74283.58146000002,76512.08890380002,78807.45157091401,81171.67511804144,83606.82537158267,86115.03013273016,88698.48103671207,91359.43546781343,94100.21853184783,96923.22508780328,99830.92184043738,102825.84949565052,105910.62498052002,109087.94372993564,112360.58204183371,115731.39950308872,119203.34148818138,122779.44173282683,126462.82498481164,130256.70973435599,134164.4110263867,96252.45780957093
Sources and Uses ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,OPEX + Actual Energy Cost,,,,193500,202116,210143.1531000001,217633.5803618852,224635.92380593438,231195.58217052452,237354.9317530318,243153.5332663476,248628.32558836756,254197.86638691777,260329.73743712052,266514.273073419,272753.97227421415,279051.40255397296,285409.2020643439,291830.0817579897,298316.8276170229,304872.3029479831,311499.4507453548,318201.29612568504,324980.9488344197,331841.6058276414,338786.55393096263,345819.17257788376,352942.9366300098,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction Cost,5600000,Equity,5690000,,,,,,,,,,,EBITDA,,,,1152000,1102434,1055504.3469,1011056.5446381149,968944.6949440655,929031.0056419753,891185.326668843,855284.7122344335,821213.0076373745,798802.1336130822,792670.2625628795,786485.726926581,780246.0277257859,773948.597446027,767590.7979356562,761169.9182420103,754683.1723829771,748127.6970520169,741500.5492546452,734798.703874315,728019.0511655803,721158.3941723586,714213.4460690374,707180.8274221162,700057.0633699902,
